HCPCS_CODE,Description,B0_const,B1_time,B2_level,B3_slope,p_const,p_time,p_level,p_slope,R_squared,BIC,N_obs,HCPCS_CODE,Description,B0_const,B1_time,B2_level,B3_slope,p_const,p_time,p_level,p_slope,R_squared,BIC,N_obs
93227,Holter monitor (24-48 hr ECG),2297.7838,1.3266,934.8453,-26.6994,1.84E-78,0.8830,0.0007,0.0088,0.3183,1190.8009,78,93227,Holter monitor (24-48 hr ECG),2229.6542,11.7015,674.9582,-37.0743,1.83E-98,0.0250,0.0001,2.32E-07,0.3664,1120.7949,75
85240,Clotting factors (selective use),1574.5105,24.2931,928.7519,-0.1644,3.35E-68,0.0042,0.0007,0.9873,0.8196,1194.0653,78,85240,Clotting factors (selective use),1480.6310,37.5515,671.2411,-13.4228,8.97E-99,1.69E-18,0.0001,0.0712,0.8572,1123.4614,75
27447,Total knee replacement (arthroplasty),54.1742,0.1297,98.9264,5.9866,1.03E-07,0.8294,0.0010,4.55E-05,0.7576,906.9895,76,27447,Total knee replacement (arthroplasty),52.5740,0.5247,88.2757,5.5916,6.57E-07,0.3443,0.0019,0.0001,0.7487,873.8696,75
86038,ANA,63735.2643,12.9770,18531.2679,150.3891,8.76E-236,0.9425,0.0010,0.4847,0.5869,1665.8473,78,86038,ANA,62240.7487,245.9418,12609.8382,-82.5758,0.0000,0.0060,0.0001,0.5855,0.6369,1572.2797,75
86235,ENA panel,17558.4099,113.2432,5674.5969,63.4380,1.25E-182,0.0355,0.0012,0.3553,0.7696,1501.2040,78,86235,ENA panel,16968.8556,197.0147,3923.1941,-20.3335,2.63E-281,2.30E-13,0.0003,0.6916,0.8071,1421.7364,75
85305,Protein C / S,292.6366,6.0097,130.3914,-9.1961,5.05E-48,3.51E-05,0.0013,1.17E-08,0.6321,911.2693,78,85305,Protein C / S,279.8307,7.9348,99.6208,-11.1213,3.31E-38,4.80E-13,0.0002,1.26E-17,0.6872,858.0217,75
92557,"Comprehensive audiometry, including air, bone, and speech",8704.3679,3122.4901,-49279.4490,-4129.1756,0.1490,3.84E-22,0.0013,3.04E-15,0.6079,1785.1542,78,92557,"Comprehensive audiometry, including air, bone, and speech",5006.5312,3488.9308,-47940.2453,-4495.6163,0.4705,1.93E-18,0.0021,3.95E-15,0.6092,1714.6934,75
83520,Tryptase,14438.5706,681.5071,5787.1741,-915.5687,6.93E-89,1.79E-44,0.0014,1.50E-40,0.8707,1496.0702,78,83520,Tryptase,13434.0945,808.6835,4766.5263,-1042.7452,1.05E-76,1.02E-122,0.0007,7.05E-68,0.8960,1423.5539,75
93303,complete transthoracic echocardiogram (TTE) for congenital cardiac anomalies,24302.1021,178.8434,7027.3868,-141.5846,2.04E-238,0.0151,0.0016,0.0843,0.7039,1518.0669,78,93303,complete transthoracic echocardiogram (TTE) for congenital cardiac anomalies,23497.1889,297.4863,4572.2565,-260.2275,0.0000,6.24E-31,5.49E-06,7.55E-09,0.7903,1419.1765,75
86160,C3,14967.0270,81.3175,4269.3087,59.7735,4.61E-208,0.0531,0.0016,0.2555,0.7673,1460.1386,78,86160,C3,14527.1283,144.8954,2918.6676,-3.8044,7.27E-230,9.05E-10,0.0006,0.9236,0.8057,1381.6998,75
93041,"Rhythm ECG (limited, interpretation dependent)",13680.0601,-6.9574,2332.2747,-154.8318,1.18E-188,0.7933,0.0016,9.44E-07,0.6619,1334.6143,78,93041,"Rhythm ECG (limited, interpretation dependent)",13581.0160,12.9195,1774.3873,-174.7087,1.21E-164,0.5798,0.0013,2.10E-09,0.7385,1263.2709,75
11105,"Punch skin biopsy, each additional lesion",333.4267,-3.8052,-116.4189,3.2809,3.65E-22,0.0867,0.0017,0.1545,0.6614,744.9556,66,11105,"Punch skin biopsy, each additional lesion",324.8745,-2.8636,-138.1139,2.3393,2.19E-21,0.3351,0.0023,0.4392,0.6519,715.1160,63
88341,"Immunohistochemistry stains often used to visualize nerve fibers (e.g., PGP 9.5)",8172.4084,97.6735,3620.6014,-42.5843,3.72E-114,0.0049,0.0022,0.3454,0.7289,1428.1296,78,88341,"Immunohistochemistry stains often used to visualize nerve fibers (e.g., PGP 9.5)",7805.1212,149.1023,2635.1879,-94.0131,1.63E-191,9.24E-15,0.0015,0.0075,0.7629,1355.8685,75
80061,"Lipid Panel (Total, HDL, Triglycerides, and calculated LDL)",989988.7943,2353.2292,303788.7279,2200.6735,2.35E-185,0.4710,0.0023,0.5619,0.6637,2108.3337,78,80061,"Lipid Panel (Total, HDL, Triglycerides, and calculated LDL)",962286.8449,6661.1404,200697.2078,-2107.2377,3.10E-237,4.65E-05,0.0003,0.4136,0.7296,1993.6109,75
95886,Needle EMG,18269.2508,15.1968,6193.1824,43.9843,3.16E-129,0.8229,0.0029,0.5800,0.5431,1514.8917,78,95886,Needle EMG,17749.6827,99.9422,4046.4881,-40.7611,1.72E-169,0.0028,0.0007,0.4475,0.5807,1431.1589,75
93000,ECG,187788.4505,-488.3210,57014.1845,1288.5349,1.60E-166,0.4369,0.0035,0.0860,0.5087,1862.3128,78,93000,ECG,181822.2210,365.0241,34208.4096,435.1899,4.02E-235,0.2838,0.0025,0.4265,0.5443,1760.2183,75
11102,"Tangential skin biopsy, single lesion",8086.5467,-45.1961,3569.0737,78.2795,5.90E-45,0.4298,0.0038,0.2128,0.4634,1206.5400,66,11102,"Tangential skin biopsy, single lesion",8143.2078,8.5649,2301.6038,24.5185,1.87E-60,0.8258,0.0020,0.6103,0.4343,1133.2422,63
96146, Psychological or neuropsychological test administration with single automated standardized instrument via electronic platform,1701.6667,-65.2935,383.5618,59.7208,2.11E-37,2.18E-11,0.0039,6.48E-09,0.7832,897.5076,66,96146, Psychological or neuropsychological test administration with single automated standardized instrument via electronic platform,1770.4416,-75.2156,317.3486,69.6429,1.20E-45,1.71E-14,0.0053,1.51E-11,0.8144,848.9608,63
93306,Echocardiogram,208951.1126,238.2936,52356.8437,96.7400,1.50E-253,0.6765,0.0041,0.8854,0.5478,1841.8743,78,93306,Echocardiogram,203288.6132,1064.2704,32302.9655,-729.2368,0.0000,1.61E-05,0.0014,0.1003,0.6263,1732.7316,75
96136, Psychological or neuropsychological test administration and scoring first 30 minutes. ,7971.9500,-11.3109,2533.1419,179.0589,1.57E-61,0.7885,0.0042,0.0003,0.7983,1183.3005,66,96136, Psychological or neuropsychological test administration and scoring first 30 minutes. ,7947.0346,22.6584,1844.7385,145.0896,8.18E-65,0.5500,0.0098,0.0016,0.7933,1125.5978,63
83497,5-HIAA (sometimes used in differential),1165.7477,-21.3665,-214.9933,20.2360,5.47E-33,4.73E-07,0.0049,2.05E-05,0.8475,1014.8096,78,83497,5-HIAA (sometimes used in differential),1196.5437,-24.2537,-217.5004,23.1231,4.73E-33,3.09E-07,0.0047,9.29E-06,0.8558,974.5349,75
71260,CT Chest,38674.5991,269.9896,8777.9260,-253.6881,6.70E-254,0.0032,0.0050,0.0310,0.6267,1583.2012,78,71260,CT Chest,38002.8520,384.5699,6593.0729,-368.2683,1.32E-238,9.14E-11,0.0039,0.0001,0.6608,1506.8958,75
95816,EEG (if syncope vs seizure differentiation is needed),8079.5150,-15.1024,2265.2088,74.0185,4.29E-128,0.5515,0.0052,0.0155,0.5934,1371.0043,78,95816,EEG (if syncope vs seizure differentiation is needed),7824.6631,21.0154,1318.9831,37.9007,2.79E-159,0.1179,0.0075,0.0867,0.6312,1291.8442,75
11103,"Tangential skin biopsy, each additional lesion",821.7700,-2.5017,347.1440,5.7280,2.65E-24,0.6637,0.0059,0.3892,0.3768,929.4681,66,11103,"Tangential skin biopsy, each additional lesion",814.4978,3.9597,217.6813,-0.7335,5.01E-26,0.4636,0.0251,0.9102,0.3271,878.5836,63
88342,"Immunohistochemistry stains often used to visualize nerve fibers (e.g., PGP 9.5)",42088.0841,264.1111,15409.1760,-207.7879,2.01E-130,0.1297,0.0059,0.3221,0.5886,1659.1523,78,88342,"Immunohistochemistry stains often used to visualize nerve fibers (e.g., PGP 9.5)",40275.0428,525.7644,9641.6448,-469.4412,2.13E-238,1.97E-13,0.0025,0.0008,0.6655,1562.0831,75
76700,abdominal ultrasound,59961.1937,-297.9825,15633.4527,267.4433,4.94E-206,0.1056,0.0060,0.1976,0.2794,1650.7110,78,76700,abdominal ultrasound,58425.6025,-69.3255,8958.0736,38.7864,0.0000,0.3847,0.0029,0.7648,0.2435,1543.7277,75
93225,Holter monitor (24-48 hr ECG),2504.6351,7.5161,904.4249,-45.4509,2.29E-90,0.4625,0.0061,0.0002,0.3235,1214.0369,78,93225,Holter monitor (24-48 hr ECG),2417.2977,20.7106,592.0875,-58.6454,3.61E-109,0.0003,0.0070,8.30E-12,0.4247,1140.7139,75
96131," Psychological testing evaluation services, each additional hour. ",7710.7567,-67.7035,3533.3978,197.3315,9.68E-27,0.3371,0.0075,0.0082,0.7176,1197.5407,66,96131," Psychological testing evaluation services, each additional hour. ",7651.5931,-31.4545,2664.4723,161.0825,6.19E-28,0.6601,0.0243,0.0332,0.7026,1138.7002,63
86162,CH50,1310.0255,6.7049,326.0942,-9.1902,2.94E-95,0.0855,0.0078,0.0757,0.3980,1098.6056,78,86162,CH50,1265.0214,12.6180,201.9941,-15.1033,6.84E-106,2.30E-05,0.0252,0.0010,0.4323,1039.6816,75
88314,"Immunohistochemistry stains often used to visualize nerve fibers (e.g., PGP 9.5)",480.1051,-5.9219,-111.9334,4.9861,1.50E-75,1.85E-05,0.0081,0.0026,0.7929,887.2775,78,88314,"Immunohistochemistry stains often used to visualize nerve fibers (e.g., PGP 9.5)",477.4082,-5.8626,-128.8980,4.9268,2.70E-64,0.0015,0.0083,0.0165,0.7865,858.2209,75
96125," Standardized cognitive performance testing, per hour. ",432.8769,-10.2342,130.3155,12.4516,2.11E-16,4.37E-06,0.0087,7.32E-06,0.2585,994.2579,78,96125," Standardized cognitive performance testing, per hour. ",438.0980,-10.4285,100.6074,12.6458,1.84E-15,1.32E-05,0.0287,1.40E-05,0.2296,957.0613,75
96138," Psychological or neuropsychological test administration and scoring by technician, first 30 minutes. ",6446.0233,49.4726,-1081.6634,54.2044,1.42E-60,0.0826,0.0092,0.0709,0.7141,1091.6172,66,96138," Psychological or neuropsychological test administration and scoring by technician, first 30 minutes. ",6324.3593,63.1974,-1086.0774,40.4796,3.22E-58,0.0674,0.0172,0.2580,0.7230,1042.3729,63
88305,"Surgical pathology, gross and microscopic examination (nerve biopsy)",364877.7447,-304.1156,92760.2097,144.3092,2.64E-208,0.7937,0.0093,0.9119,0.3749,1939.1899,78,88305,"Surgical pathology, gross and microscopic examination (nerve biopsy)",353972.8503,1298.6741,51463.4869,-1458.4805,0.0000,0.0033,0.0031,0.0565,0.4466,1816.3208,75
11107,"Incisional skin biopsy, each additional lesion",51.0467,-0.9135,77.2398,-0.1714,7.79E-08,0.1636,0.0105,0.8928,0.1582,732.1092,59,11107,"Incisional skin biopsy, each additional lesion",49.9394,-0.5416,68.1682,-0.5433,4.55E-08,0.4568,0.0230,0.6823,0.1306,701.6336,57
96112," Developmental test administration, first hour. ",6506.8400,114.1770,2470.8345,-52.4718,7.45E-60,0.0037,0.0109,0.2425,0.6885,1188.3628,66,96112," Developmental test administration, first hour. ",6298.3810,198.9286,1326.7921,-137.2234,1.66E-86,9.02E-12,0.0405,0.0002,0.7164,1116.4117,63
96116," Neurobehavioral status exam, first hour. ",1722.6366,11.8430,607.4187,5.5717,3.54E-38,0.1421,0.0128,0.5552,0.6345,1198.3788,78,96116," Neurobehavioral status exam, first hour. ",1652.0143,20.6090,433.0589,-3.1942,3.63E-31,0.0086,0.0421,0.7295,0.6406,1146.4271,75
95943,Quantitative autonomic function testing of parasympathetic and sympathetic functions,1109.6141,-23.1795,248.3340,5.5894,1.20E-121,2.23E-19,0.0138,0.1485,0.8328,1027.4086,49,95943,Quantitative autonomic function testing of parasympathetic and sympathetic functions,1121.7148,-23.7416,184.6822,6.1515,1.44E-141,1.36E-33,0.0379,0.0782,0.8510,981.9372,46
75561,cardiovascular magnetic resonance imaging,100.5661,2.1311,97.4803,3.2468,8.19E-09,0.0742,0.0153,0.0735,0.7307,925.6011,78,75561,cardiovascular magnetic resonance imaging,94.1622,3.2664,73.9502,2.1116,1.48E-08,0.0013,0.0326,0.2157,0.7309,886.6995,75
95913,Nerve conduction studies (depending on number of nerves tested),1832.0195,4.0925,538.2505,4.7509,5.76E-71,0.5920,0.0163,0.6040,0.5344,1165.6084,78,95913,Nerve conduction studies (depending on number of nerves tested),1802.0749,10.2908,382.1290,-1.4473,1.30E-72,0.0901,0.0266,0.8547,0.5370,1110.0614,75
93241,continuous cardiac monitoring and detection,0,19.9020,-29.8151,-9.9131,0,0.0027,0.0164,0.0870,0.8463,445.1534,40,93241,continuous cardiac monitoring and detection,0,19.9020,-29.8151,-9.9131,0,0.0027,0.0164,0.0870,0.8463,445.1534,40
95909,Nerve conduction studies (depending on number of nerves tested),944.9670,-1.0775,369.2314,4.0936,1.93E-50,0.8276,0.0164,0.4820,0.3637,1115.7185,78,95909,Nerve conduction studies (depending on number of nerves tested),911.2299,4.4231,223.7166,-1.4070,3.48E-47,0.2099,0.0410,0.7632,0.3520,1056.9818,75
83721,"Lipoprotein, direct measurement; high-density cholesterol (HDL)",29024.1051,-104.6505,6776.0405,170.5796,8.54E-197,0.2436,0.0171,0.1266,0.3629,1546.9578,78,83721,"Lipoprotein, direct measurement; high-density cholesterol (HDL)",28380.6595,-0.1965,3763.0090,66.1257,1.06E-286,0.9963,0.0261,0.4073,0.3631,1453.9523,75
82785,IgE (total),24659.2508,-51.3794,5676.0250,313.5257,6.95E-76,0.5019,0.0174,0.0024,0.5938,1558.3566,78,82785,IgE (total),23842.0250,51.9606,3032.2336,210.1858,1.44E-80,0.4116,0.0969,0.0276,0.6130,1481.6868,75
86359,CD4/CD8 subsets,8931.9535,43.8852,1866.0413,-71.3681,2.76E-189,0.0926,0.0175,0.0140,0.3982,1362.3806,78,86359,CD4/CD8 subsets,8609.7023,86.9428,942.1033,-114.4257,2.26E-190,1.45E-06,0.0482,3.33E-07,0.5092,1271.4440,75
86665,EBV antibodies,10045.8033,-66.0332,2346.5935,156.2327,2.20E-88,0.0382,0.0194,0.0003,0.4425,1427.4441,78,86665,EBV antibodies,9735.4599,-32.3640,1381.4218,122.5635,1.12E-81,0.3577,0.1485,0.0078,0.4134,1365.5126,75
96113," Developmental test administration, each additional 30 minutes. ",1160.5600,16.4078,456.9810,14.6634,8.99E-23,0.0692,0.0196,0.1935,0.7171,1007.9769,66,96113," Developmental test administration, each additional 30 minutes. ",1140.8182,27.2896,308.3106,3.7816,3.49E-20,0.0070,0.0757,0.7577,0.7068,960.0742,63
95921,Cardiovagal (heart rate variability with deep breathing),2191.0210,-11.0901,681.9695,23.8795,2.37E-36,0.2443,0.0212,0.0287,0.3607,1219.8822,78,95921,Cardiovagal (heart rate variability with deep breathing),2083.0606,2.6136,318.1404,10.1758,2.20E-36,0.7502,0.1729,0.3048,0.3416,1152.0083,75
25605,Closed treatment of a distal radial fracture with manipulation ,61.8889,-0.1905,69.8672,-0.2201,0.0002,0.7943,0.0216,0.8698,0.1922,876.2445,74,25605,Closed treatment of a distal radial fracture with manipulation ,59.0143,0.1942,59.8613,-0.6048,0.0007,0.8221,0.0536,0.6726,0.1700,844.3109,72
93660,Tilt table test (with continuous monitoring),79.5300,-1.3620,-29.1945,2.4762,1.10E-09,0.0179,0.0223,0.0002,0.3497,754.6553,61,93660,Tilt table test (with continuous monitoring),76.5847,-1.0953,-38.8722,2.2094,7.87E-09,0.1099,0.0063,0.0036,0.3512,727.2439,59
93224,Holter monitor (24-48 hr ECG),3384.2372,-13.4834,738.9523,34.1209,1.07E-89,0.2096,0.0240,0.0070,0.4270,1235.8765,78,93224,Holter monitor (24-48 hr ECG),3303.4082,-1.6410,400.3758,22.2785,8.37E-105,0.8304,0.0866,0.0311,0.4148,1171.3606,75
95911,Nerve conduction studies (depending on number of nerves tested),3376.2207,14.4255,986.9745,-4.0176,1.10E-113,0.2934,0.0241,0.8083,0.4984,1270.3870,78,95911,Nerve conduction studies (depending on number of nerves tested),3259.8414,32.5592,566.3527,-22.1512,4.82E-146,2.55E-05,0.0462,0.0693,0.5346,1199.9987,75
86769,serology for Covid,19015.4286,15447.5440,-91918.9758,-18615.8310,0.5870,0.0008,0.0257,4.61E-05,0.6676,1328.8658,52,86769,serology for Covid,51340.0727,15436.9394,-77805.5470,-18605.2264,0.3249,0.0428,0.0374,0.0143,0.6538,1255.0866,50
96130," Psychological testing evaluation services, first hour. ",22469.7667,-440.5413,7924.2606,671.7160,5.90E-15,0.0488,0.0281,0.0044,0.4283,1340.6107,66,96130," Psychological testing evaluation services, first hour. ",22654.3723,-424.8610,6104.4257,656.0357,9.37E-15,0.0776,0.0710,0.0093,0.3744,1279.4401,63
82465,"Total cholesterol, serum",49561.6291,-213.9106,11772.8047,-7.2220,8.97E-102,0.2359,0.0321,0.9722,0.1127,1647.0499,78,82465,"Total cholesterol, serum",48285.9109,-14.5702,6027.8996,-206.5624,2.02E-133,0.8989,0.0936,0.1877,0.0864,1552.5420,75
95992,Neuropsychological testing (sometimes used depending on setup),60.1697,-0.3891,58.8818,2.3910,3.45E-05,0.5798,0.0329,0.0568,0.4473,867.7942,72,95992,Neuropsychological testing (sometimes used depending on setup),57.3155,-0.0709,50.3863,2.0728,0.0003,0.9289,0.0632,0.1136,0.4291,836.1683,71
94761,"Pulse oximetry (spot / overnight, sometimes used adjunctively)",20358.1997,-252.4320,2904.2030,255.0192,9.82E-241,4.15E-09,0.0347,7.08E-07,0.4754,1426.1717,78,94761,"Pulse oximetry (spot / overnight, sometimes used adjunctively)",20099.5419,-219.0869,1338.5199,221.6740,5.14E-230,4.62E-07,0.2804,2.15E-05,0.4817,1354.4918,75
93226,Holter monitor (24-48 hr ECG),4360.8844,19.1955,853.8447,-76.0161,2.51E-125,0.1542,0.0391,9.82E-07,0.3775,1254.4173,78,93226,Holter monitor (24-48 hr ECG),4235.3351,37.5094,450.9368,-94.3300,1.13E-126,1.26E-06,0.0734,1.06E-17,0.5238,1175.7345,75
82570,Creatinine (needed for normalization),235857.7958,-399.9439,34430.7640,2679.8542,1.59E-298,0.4600,0.0417,6.29E-05,0.6749,1847.1257,78,82570,Creatinine (needed for normalization),232183.9715,203.7650,17586.0710,2076.1453,3.48E-310,0.5392,0.1087,5.68E-05,0.7100,1753.9372,75
