HCPCS_CODE,Description,B0_const_Jan2021,B1_time_Jan2021,B2_level_Jan2021,B3_slope_Jan2021,p_const_Jan2021,p_time_Jan2021,p_level_Jan2021,p_slope_Jan2021,R_squared_Jan2021,BIC_Jan2021,B0_const_Jun2020,B1_time_Jun2020,B2_level_Jun2020,B3_slope_Jun2020,p_const_Jun2020,p_time_Jun2020,p_level_Jun2020,p_slope_Jun2020,R_squared_Jun2020,BIC_Jun2020,B0_const_Mar2021,B1_time_Mar2021,B2_level_Mar2021,B3_slope_Mar2021,p_const_Mar2021,p_time_Mar2021,p_level_Mar2021,p_slope_Mar2021,R_squared_Mar2021,BIC_Mar2021,N_obs,BIC_min,Best_Intervention_BIC,R_squared_max,Best_Intervention_R_squared,Agreement
93225,Holter monitor (24-48 hr ECG),2432.7849,18.9874,574.7782,-56.9223,1.77e-120,0.0002,0.0091,3.9e-12,0.4251,1140.6602,2457.5983,16.9737,608.2944,-43.3007,5.89e-102,0.0402,0.022,2.53e-05,0.3268,1152.497,2410.8681,20.9656,463.8693,-60.9164,4.84e-122,4.86e-06,0.0496,1.55e-11,0.4278,1140.3059,75,1140.3059,Mar-21,0.4278,Mar-21,Agree
93226,Holter monitor (24-48 hr ECG),4265.6742,34.2509,422.1153,-91.0715,6.110000000000001e-144,3.4e-07,0.0921,1.13e-18,0.5238,1175.7374,4269.1368,34.3829,669.9174,-79.9837,3.67e-109,0.0052,0.0339,7.18e-09,0.4708,1183.6447,4286.1266,32.4511,388.4682,-93.0759,1.08e-153,1.23e-07,0.1738,1.59e-18,0.5338,1174.1351,75,1174.1351,Mar-21,0.5338,Mar-21,Agree
93227,Holter monitor (24-48 hr ECG),2237.2104,10.7997,663.8602,-36.1725,8.919999999999999e-104,0.0222,0.0002,1.2e-07,0.3669,1120.7339,2272.2308,7.7415,564.0189,-21.3135,2.41e-102,0.2755,0.0125,0.0196,0.2299,1135.4357,2215.8683,12.6971,626.2689,-41.1901,4.4e-105,0.0026,0.0001,1.56e-08,0.3853,1118.5315,75,1118.5315,Mar-21,0.3853,Mar-21,Agree
82785,IgE (total),24121.3718,33.1817,3254.2667,228.9647,2.68e-82,0.5636,0.0735,0.0122,0.6118,1481.92,22074.4017,245.2756,-4705.653,87.9965,1.73e-72,0.0037,0.0239,0.3832,0.617,1480.8994,24314.3873,15.8721,5344.9989,202.118,9.02e-85,0.7496,0.0015,0.0143,0.6322,1477.864,75,1477.864,Mar-21,0.6322,Mar-21,Agree
83520,Tryptase,14083.3433,738.7244,4139.7967,-972.786,1.08e-98,2.05e-155,0.0025,6.570000000000001e-66,0.8962,1423.4129,13745.8547,773.5655,6401.2917,-893.6422,3.88e-81,7.64e-64,0.0004,6.77e-36,0.858,1446.9148,14228.4982,725.8594,3399.0992,-992.4556,4.8e-102,2.9e-177,0.01,1.62e-78,0.9025,1418.7359,75,1418.7359,Mar-21,0.9025,Mar-21,Agree
82542,Prostaglandin D2 (lab-dependent methodology),13762.3555,-88.4185,-1177.5481,94.2758,5.58e-118,0.0387,0.3431,0.0415,0.4567,1336.3773,11835.0085,114.1101,-6006.1292,-95.7249,7.4e-114,0.0004,1.13e-21,0.0056,0.7533,1277.1685,13799.1056,-91.6812,-1046.6172,102.8246,5.77e-137,0.0054,0.3415,0.008,0.4593,1336.0201,75,1277.1685,Jun-20,0.7533,Jun-20,Agree
82570,Creatinine (needed for normalization),232050.8821,203.9707,17100.6687,2075.9396,0.0,0.4867,0.1178,2.43e-05,0.7101,1753.8997,234063.5897,-14.7887,2705.0454,2406.952,1.61e-236,0.9798,0.8353,0.0002,0.7075,1754.5825,230462.5184,346.4564,18341.8271,1904.7714,0.0,0.183,0.1045,0.0003,0.7079,1754.476,75,1753.8997,Jan-21,0.7101,Jan-21,Agree
83497,5-HIAA (sometimes used in differential),1166.6953,-21.5318,-210.1575,20.4012,1.24e-32,1.27e-06,0.0111,3.74e-05,0.8467,979.122,1268.453,-31.9962,34.6662,25.1775,2.55e-32,1.39e-07,0.7184,9.71e-05,0.8212,990.6331,1164.0369,-21.2947,-219.2184,21.7939,8.410000000000001e-36,3.43e-08,0.0028,2.15e-07,0.8563,974.2432,75,974.2432,Mar-21,0.8563,Mar-21,Agree
86160,C3,14651.6968,131.8652,2815.4688,9.2258,1.92e-261,1.73e-10,0.001,0.8081,0.8055,1381.7926,14518.7521,145.5644,985.1552,39.3875,7.74e-165,0.0007,0.3743,0.4412,0.7876,1388.398,14483.4292,146.9598,2671.4785,-14.3473,1.71e-243,4.49e-13,0.0034,0.7331,0.8044,1382.21,75,1381.7926,Jan-21,0.8055,Jan-21,Agree
86161,C4,241.7682,7.6205,-1.4668,-4.3412,6.0399999999999995e-30,5.14e-07,0.9737,0.0102,0.7184,878.1294,187.4359,13.159,-105.3821,-8.9196,3.1e-13,2.52e-09,0.0263,0.0001,0.7572,867.0036,246.9359,7.166,10.3534,-4.2138,2.36e-34,9.68e-10,0.7903,0.0027,0.7183,878.1433,75,867.0036,Jun-20,0.7572,Jun-20,Agree
86162,CH50,1282.2772,11.0981,200.0806,-13.5834,1.27e-105,6.89e-05,0.0284,0.0024,0.427,1040.3858,1211.3504,18.3289,2.3259,-16.1512,4.08e-97,6.75e-05,0.9844,0.0031,0.39,1045.0761,1295.3934,9.9296,269.2026,-14.878,2.65e-107,4.84e-05,0.0023,0.0002,0.4595,1035.9973,75,1035.9973,Mar-21,0.4595,Mar-21,Agree
86140,CRP,142410.7339,2107.1289,36591.476,-1945.9488,0.0,8.44e-43,3.69e-11,2.57e-13,0.8819,1675.227,144540.0171,1889.0171,33186.716,-1117.4468,2.64e-269,5.41e-12,0.0002,0.0033,0.8407,1697.6715,141166.6508,2220.3862,33983.6057,-2216.2507,1.3499999999999999e-278,1.35e-36,1.32e-09,4.78e-16,0.8863,1672.3668,75,1672.3668,Mar-21,0.8863,Mar-21,Agree
85652,ESR,127089.5807,966.7866,28007.193,-678.8063,0.0,1.71e-14,1.28e-07,0.0057,0.787,1661.3223,126145.0684,1065.2284,14787.4197,-308.6139,0.0,2.21e-05,0.0587,0.3557,0.7337,1678.0903,126257.922,1041.5349,28580.37,-897.4574,0.0,1.77e-18,1.6e-08,0.0002,0.7972,1657.6609,75,1657.6609,Mar-21,0.7972,Mar-21,Agree
86038,ANA,62404.9172,226.6662,12382.4925,-63.3002,0.0,0.0046,0.0002,0.6646,0.6371,1572.2231,62575.9829,208.666,6749.6578,140.3576,1.5700000000000002e-281,0.1376,0.0991,0.4241,0.5897,1581.4416,62051.3255,258.2357,13275.8996,-163.2416,0.0,0.0002,3.7e-05,0.2593,0.6504,1569.4331,75,1569.4331,Mar-21,0.6504,Mar-21,Agree
86235,ENA panel,17146.5429,178.798,3792.0486,-2.1167,4.780000000000001e-289,1.74e-13,0.0005,0.9662,0.8066,1421.9176,16893.5556,204.8756,1225.0207,32.7379,1.16e-227,2e-05,0.381,0.592,0.7868,1429.2457,17071.226,185.5355,4251.1792,-32.5986,2.33e-304,3.82e-20,7.71e-05,0.5077,0.8135,1419.2201,75,1419.2201,Mar-21,0.8135,Mar-21,Agree
86146,Anticardiolipin antibodies (IgG/IgM),2450.3724,79.7044,1132.8857,-26.2396,4.63e-89,5.47e-35,2.06e-05,0.0292,0.9001,1205.2975,2526.2308,71.8431,874.2626,-1.3638,5.28e-67,3.71e-08,0.0149,0.9316,0.8861,1215.164,2402.0431,84.0555,1091.1782,-35.1822,3.67e-80,3.67e-44,9.56e-05,0.0065,0.9014,1204.3391,75,1204.3391,Mar-21,0.9014,Mar-21,Agree
86147,Anticardiolipin antibodies (IgG/IgM),4235.2581,85.5127,1430.9686,-21.7621,1.63e-159,1.9200000000000002e-29,2.28e-05,0.1549,0.8792,1243.7699,4314.5299,77.4068,995.2904,7.69,9.89e-140,2.54e-08,0.0195,0.6744,0.8631,1253.1761,4173.8719,91.0329,1403.9174,-33.2114,1.93e-145,1.8600000000000002e-35,7.76e-05,0.0452,0.8808,1242.7724,75,1242.7724,Mar-21,0.8808,Mar-21,Agree
86148,Beta-2 glycoprotein,639.7916,20.7047,504.4396,-52.0088,1.71e-106,5.58e-30,1.38e-05,5.87e-45,0.6809,1045.3518,602.7179,24.5579,430.6365,-45.1897,7.81e-45,1.54e-07,0.0099,4.95e-15,0.5291,1074.5365,640.014,20.6857,491.6071,-55.3695,3.3999999999999997e-113,3.3999999999999997e-48,7.38e-06,8.21e-62,0.7171,1036.327,75,1036.327,Mar-21,0.7171,Mar-21,Agree
86355,T cells (CD3),2938.6735,40.5898,124.7618,-23.8259,1.83e-98,1.37e-06,0.6009,0.0309,0.68,1153.9031,2611.7009,73.9962,-587.0292,-49.4703,7.039999999999999e-120,8.330000000000001e-22,0.0028,3.36e-07,0.7115,1146.1374,2990.4219,35.965,327.7267,-24.0871,1.64e-99,5.89e-07,0.155,0.0114,0.6894,1151.6648,75,1146.1374,Jun-20,0.7115,Jun-20,Agree
86357,NK cells,2456.2323,34.4232,178.5958,-27.763,5.75e-110,2.7e-07,0.3634,0.0021,0.6695,1119.0773,2190.8291,61.6229,-399.3291,-46.9993,2.24e-194,2.8e-29,0.0144,2.43e-10,0.6924,1113.6924,2500.8865,30.4373,351.4351,-28.4494,1.76e-107,2.15e-07,0.0663,0.0002,0.686,1115.2244,75,1113.6924,Jun-20,0.6924,Jun-20,Agree
86359,CD4/CD8 subsets,8726.3427,76.606,926.4243,-104.0889,4.12e-205,3.58e-06,0.0588,9.2e-07,0.4997,1272.8887,8249.3932,125.0332,-105.1993,-127.0699,1.16e-120,3.26e-06,0.8621,1.78e-05,0.4693,1277.3094,8774.8547,72.3217,1091.9354,-109.6091,3.59e-227,5.04e-08,0.021,1.09e-09,0.5202,1269.744,75,1269.744,Mar-21,0.5202,Mar-21,Agree
86360,CD4/CD8 subsets,16422.3693,127.5698,-166.6602,-148.4905,5.2600000000000005e-213,1.64e-05,0.839,3.31e-05,0.3281,1352.8439,15487.5983,222.7214,-1475.7762,-225.8765,1.25e-178,7.43e-09,0.0737,6.62e-08,0.378,1347.06,16595.782,112.1473,220.975,-143.7404,3.17e-219,1.18e-05,0.7941,6.24e-06,0.3267,1352.9996,75,1347.06,Jun-20,0.378,Jun-20,Agree
86665,EBV antibodies,9871.8222,-39.3226,1585.7051,129.5221,1.06e-86,0.1966,0.0885,0.0023,0.4185,1364.8671,8570.2393,97.1685,-3243.979,33.718,2.61e-50,0.0128,0.0002,0.4697,0.4617,1359.0759,9893.5807,-41.2738,2319.3434,115.6754,1.24e-96,0.0876,0.0066,0.0023,0.4387,1362.2139,75,1359.0759,Jun-20,0.4617,Jun-20,Agree
86790,Viral serologies (lab dependent),551.6951,18.787,-355.7661,-14.8423,8.36e-09,0.0003,0.0098,0.0165,0.3397,1020.884,715.1538,2.2154,287.4991,-5.1178,7.43e-17,0.6563,0.0194,0.3767,0.2658,1028.8382,558.2322,18.2088,-436.9039,-11.7919,3.74e-10,3.45e-05,0.0007,0.0237,0.393,1014.5715,75,1014.5715,Mar-21,0.393,Mar-21,Agree
85610,PT/INR,438265.5184,132.222,18839.2508,-1793.7156,0.0,0.6122,0.1403,0.0003,0.296,1753.7081,432513.6239,737.8978,3925.5061,-1925.893,0.0,0.1209,0.764,0.0009,0.2559,1757.8629,438750.1299,90.2387,20667.8623,-1913.2459,0.0,0.693,0.144,0.0002,0.3098,1752.2291,75,1752.2291,Mar-21,0.3098,Mar-21,Agree
85730,aPTT,186325.1753,1478.7745,6297.0496,-2231.8476,0.0,7.37e-17,0.4357,1.36e-12,0.5007,1672.1637,181799.3846,1941.9785,4249.5782,-2427.0688,0.0,1.23e-13,0.578,1.77e-13,0.4817,1674.9694,187267.1502,1395.2134,6598.2958,-2245.4838,0.0,1.39e-18,0.4639,5.56e-12,0.507,1671.214,75,1671.214,Mar-21,0.507,Mar-21,Agree
85379,D-dimer,33422.3883,1076.8674,18259.5092,-1773.011,1.18e-35,2.61e-08,0.0005,1.46e-14,0.7867,1575.071,39755.735,430.0674,33332.3383,-859.1555,0.0,2.04e-12,2.83e-13,3.06e-09,0.7703,1580.6434,31717.9607,1231.3656,10099.5406,-1904.54,1.7599999999999998e-24,7.12e-09,0.1113,1.03e-15,0.7612,1583.5443,75,1575.071,Jan-21,0.7867,Jan-21,Agree
85025,CBC,2851183.897,7734.0244,416507.7908,-1113.2767,0.0,0.0017,3.31e-05,0.8107,0.7122,2080.0274,2783615.692,14758.5938,38782.8356,-710.6099,0.0,0.0006,0.7565,0.9005,0.652,2094.2534,2851953.5,7676.7709,503974.8885,-4343.1495,0.0,0.0002,1.31e-09,0.2577,0.7439,2071.2614,75,2071.2614,Mar-21,0.7439,Mar-21,Agree
85384,Fibrinogen,4216.0007,235.3952,959.501,-296.7829,2.8600000000000003e-35,1.34e-27,0.1084,3.8900000000000003e-31,0.869,1268.4289,4999.265,153.9234,4008.1956,-199.8218,3.33e-68,1.75e-16,3.91e-17,4.07e-19,0.8872,1257.2555,4174.9968,239.3282,256.5384,-300.4563,9.68e-34,7.410000000000001e-31,0.6906,3.07e-36,0.8665,1269.8703,75,1257.2555,Jun-20,0.8872,Jun-20,Agree
85390,Coagulation interpretation/report,619.6519,47.8606,1144.9368,-53.1927,7.87e-08,1.66e-08,3.58e-08,5.37e-09,0.9246,1079.0483,943.453,14.9145,1596.8687,-5.0684,2.8299999999999996e-189,2.37e-09,8.82e-16,0.4652,0.9075,1094.3288,525.5337,56.3414,833.4093,-62.1998,0.0001,1.07e-09,0.0006,2.43e-10,0.9055,1095.9497,75,1079.0483,Jan-21,0.9246,Jan-21,Agree
85576,Platelet function assay (PFA-100/200),622.6462,11.8373,115.6698,-8.6458,1.05e-39,2.02e-05,0.2432,0.0423,0.5496,1022.4795,710.3333,2.761,317.7125,1.1652,4.44e-79,0.357,0.0003,0.7653,0.5789,1017.4429,630.2457,11.1759,151.8273,-9.3408,6.71e-43,3.28e-06,0.1149,0.0223,0.5595,1020.8114,75,1017.4429,Jun-20,0.5789,Jun-20,Agree
85597,Platelet aggregation studies,355.4418,4.2849,161.8218,-1.8352,9.13e-159,7.92e-08,0.0001,0.2431,0.7433,902.1343,375.1111,2.2219,137.9671,2.3934,1.99e-179,0.0489,0.0018,0.1515,0.7132,910.4475,342.3679,5.4568,132.804,-3.1908,1.9599999999999997e-104,1.66e-08,0.0041,0.0996,0.7312,905.5773,75,902.1343,Jan-21,0.7433,Jan-21,Agree
85300,Antithrombin III,584.3611,11.6577,275.8803,-14.8028,1.99e-145,1.64e-13,4.39e-08,7.02e-12,0.7965,941.1217,604.2393,9.5562,264.2574,-8.2277,4.97e-139,9.02e-05,0.0004,0.0055,0.73,962.3449,571.5072,12.8091,242.0606,-16.9056,5.1e-130,7.48e-20,8.7e-07,2.06e-16,0.7981,940.5234,75,940.5234,Mar-21,0.7981,Mar-21,Agree
85303,Protein C / S,659.4349,11.5567,242.6984,-15.0684,7.84e-165,6.94e-14,4.35e-06,2.73e-11,0.7567,944.9658,677.9573,9.5573,248.8271,-9.1042,1.09e-178,1.77e-05,0.0005,0.001,0.6983,961.1109,645.4633,12.8035,196.826,-16.9288,4.32e-139,3.9e-18,0.0003,1.05e-12,0.7528,946.1431,75,944.9658,Jan-21,0.7567,Jan-21,Agree
85305,Protein C / S,283.9063,7.3863,90.9382,-10.5728,8.7e-47,5.61e-16,0.0003,3.62e-20,0.6943,856.302,300.1282,5.7036,140.7708,-7.2859,1.45e-50,0.0005,0.0004,4.15e-05,0.6584,864.6357,277.394,7.9714,56.1297,-11.2124,7.23e-41,4.42e-19,0.0324,7.78e-20,0.6873,858.013,75,856.302,Jan-21,0.6943,Jan-21,Agree
85306,Protein C / S,765.6048,14.2023,253.8619,-17.5311,2.3200000000000002e-271,1.5e-27,5.29e-07,2.85e-16,0.7758,960.8206,784.6496,12.2065,265.0048,-11.2248,3.4e-220,1.61e-06,0.0006,0.0003,0.7232,976.623,747.6617,15.8084,186.2804,-19.472,4.4099999999999996e-180,1.22e-25,0.001,7.65e-15,0.7672,963.6398,75,960.8206,Jan-21,0.7758,Jan-21,Agree
81240,Prothrombin gene mutation,1566.5837,-19.7491,362.274,14.5843,5.89e-306,2.46e-19,6.61e-07,4.28e-06,0.5016,985.7747,1526.2051,-15.3026,-20.1645,15.8439,9.72e-206,0.0001,0.8548,0.0006,0.3791,1002.2671,1553.2004,-18.5531,412.7481,11.4441,0.0,4.6e-20,2.49e-10,8.69e-05,0.5345,980.6563,75,1002.2671,Jun-20,0.5345,Mar-21,Disagree
81241,Factor V Leiden,1889.8671,-16.9246,515.7372,8.2179,9.04e-293,3.53e-11,2.04e-09,0.0312,0.3457,1020.7796,1840.7179,-11.6297,70.3307,11.3062,1.23e-207,0.0149,0.6214,0.0484,0.1003,1044.6705,1869.4457,-15.1023,552.7645,3.8753,6.659999999999999e-292,2.45e-09,7.53e-13,0.2733,0.3867,1015.9267,75,1015.9267,Mar-21,0.3867,Mar-21,Agree
71250,CT Chest,24488.1426,307.8293,2343.3169,-69.2594,4.7100000000000004e-276,2.97e-24,0.1293,0.2579,0.7771,1468.4751,24263.1624,329.4209,1058.5741,-50.7829,6.71e-183,4.41e-08,0.4831,0.4789,0.7718,1470.2471,24707.8131,288.4285,3632.12,-84.3816,2.51e-287,3.35e-22,0.0367,0.1694,0.7851,1465.7366,75,1465.7366,Mar-21,0.7851,Mar-21,Agree
71260,CT Chest,38112.6217,363.2614,6075.3912,-346.9598,3.46e-278,1.23e-13,0.0063,9.53e-05,0.6664,1505.6352,39469.2906,218.4044,8413.5788,-121.5363,0.0,0.0007,4.24e-05,0.1648,0.6577,1507.5818,38128.1603,362.4235,6554.6949,-389.077,1.0500000000000002e-291,1.43e-15,0.0043,6.04e-06,0.6795,1502.6315,75,1502.6315,Mar-21,0.6795,Mar-21,Agree
75561,cardiovascular magnetic resonance imaging,94.4554,3.1238,68.8477,2.2541,1.91e-09,0.0004,0.0434,0.1662,0.7326,886.211,116.5214,0.9214,70.0426,5.1229,5.68e-11,0.445,0.0189,0.0018,0.7363,885.169,94.1606,3.1485,87.525,1.678,1.75e-10,7.78e-06,0.0046,0.3095,0.7393,884.32,75,884.32,Mar-21,0.7393,Mar-21,Agree
75565,Cardiac MRI,122.5028,0.804,18.5306,2.7194,4.44e-20,0.2264,0.5033,0.0113,0.5393,840.0061,127.1709,0.3709,2.5575,3.2849,3.37e-15,0.7801,0.9343,0.0234,0.5418,839.6082,122.9612,0.761,31.0655,2.5397,2.3100000000000003e-21,0.1608,0.2636,0.0255,0.5426,839.4788,75,839.4788,Mar-21,0.5426,Mar-21,Agree
75574,Cardiac CTA,261.5799,16.4551,-4.0632,37.471,1.48e-36,2.3199999999999997e-41,0.9629,3.2800000000000003e-21,0.9313,1051.6651,232.2051,19.6113,-283.0047,33.0724,9.57e-29,3.12e-35,3.76e-05,1.71e-25,0.9314,1051.6248,270.4415,15.6665,121.0874,37.1487,1.99e-37,3.87e-46,0.2029,1.05e-18,0.932,1050.9615,75,1050.9615,Mar-21,0.932,Mar-21,Agree
93000,ECG,182901.0852,286.2116,34792.9082,514.0023,1.5299999999999998e-241,0.3613,0.0023,0.3319,0.5434,1760.3627,176012.0598,999.0475,-2901.0818,409.2814,1.96e-196,0.0302,0.8266,0.4875,0.5004,1767.1076,183286.6867,252.3552,44990.6729,238.8141,1.0499999999999999e-267,0.3145,3.72e-05,0.6051,0.5748,1755.0225,75,1755.0225,Mar-21,0.5748,Mar-21,Agree
93303,complete transthoracic echocardiogram (TTE) for congenital cardiac anomalies,23723.0425,272.5311,4327.3745,-235.2723,0.0,1.93e-38,1.06e-05,3.32e-08,0.7909,1418.9576,23726.8205,272.5005,3337.0452,-158.7022,0.0,5.49e-09,0.0157,0.0088,0.7553,1430.7425,23605.4671,283.2551,4143.1992,-267.0077,0.0,2.13e-44,0.0001,4.67e-09,0.7962,1417.0509,75,1417.0509,Mar-21,0.7962,Mar-21,Agree
93306,Echocardiogram,204496.9674,950.9273,31868.809,-615.8937,0.0,3e-05,0.0017,0.1552,0.6248,1733.0192,201004.1538,1311.9108,10128.3038,-413.6993,0.0,0.0002,0.3782,0.3809,0.5752,1742.3473,204841.8513,920.3026,38702.8494,-856.289,0.0,1.42e-06,7.82e-05,0.0294,0.6532,1727.1221,75,1727.1221,Mar-21,0.6532,Mar-21,Agree
92625,comprehensive tinnitus assessment,57.8053,-0.1796,-6.4396,4.1636,2.4899999999999998e-23,0.5331,0.8028,0.0416,0.2659,899.6063,59.5983,-0.3371,-22.8867,4.0298,1.35e-20,0.4183,0.3306,0.0141,0.265,899.7046,57.2316,-0.1256,-1.0854,4.1683,7.13e-24,0.6343,0.9683,0.0575,0.2662,899.5781,75,899.5781,Mar-21,0.2662,Mar-21,Agree
92552,Pure tone audiogram,61318.6101,1035.3203,-1007.5073,-1241.098,3.1000000000000004e-26,0.0005,0.9175,0.004,0.2126,1710.0091,60671.0684,1081.0284,5968.4815,-1257.5311,4.44e-24,0.0173,0.585,0.0129,0.2181,1709.4808,63844.1766,808.8373,7316.9807,-1199.1953,1.21e-26,0.0085,0.4901,0.005,0.2199,1709.3124,75,1709.3124,Mar-21,0.2199,Mar-21,Agree
92553,Tympanometry and acoustic reflex threshold measurements,1799.4603,17.2091,56.7174,-1.5589,4.859999999999999e-69,0.0011,0.7871,0.8703,0.4066,1156.3717,1807.1111,16.545,46.2882,0.0597,3.16e-56,0.0602,0.8337,0.9955,0.4061,1156.4293,1848.3044,12.8414,284.1718,-1.5771,3.1e-69,0.0204,0.1936,0.8687,0.4189,1154.7943,75,1154.7943,Mar-21,0.4189,Mar-21,Agree
92557,"Comprehensive audiometry, including air, bone, and speech",8383.0632,3152.5135,-50008.9639,-4159.199,0.1679,5.46e-20,0.0016,8.07e-15,0.5991,1716.6064,1176.8632,3878.6756,-18191.0339,-5343.7984,0.9019,1.94e-06,0.3156,4.05e-10,0.5741,1721.1362,10959.2063,2922.072,-58653.7239,-3694.9328,0.0567,3.95e-22,0.0003,5.75e-12,0.6126,1714.0353,75,1714.0353,Mar-21,0.6126,Mar-21,Agree
92588,"Distortion product otoacoustic emissions, comprehensive diagnostic evaluation",8848.9044,-54.1072,569.2397,112.9682,4.88e-90,0.0065,0.2543,9.87e-06,0.3018,1290.8092,8970.3077,-65.5415,-107.4048,126.9283,8.99e-65,0.0385,0.8461,0.0002,0.3093,1289.9901,8907.6824,-59.3455,1212.5155,107.702,4.28e-96,0.0009,0.0117,5.64e-06,0.3276,1287.9846,75,1287.9846,Mar-21,0.3276,Mar-21,Agree
